,PC1,PC2,PC3,PC4,PC5
AMPD1,0.982301295669183,0.960021726621368,0.945705846942626,0.945974195074921,0.946272358870412
ANGPT1,0.973545948364649,0.960906031365799,0.947377907273305,0.946737175918537,0.946591729862303
ANO1,0.999573084963156,0.944779501733799,0.943098565526626,0.94726726802397,0.948824188642134
ANXA11,0.999476921390516,0.939242430032791,0.942341584035661,0.943904119383747,0.945859667199843
ANXA2,0.999343003780811,0.931713721769266,0.945993106628535,0.945966068590385,0.947000821036952
ANXA5,0.999370033394103,0.933251392376898,0.946507609305743,0.946210290593552,0.947241044719317
AOC3,0.982121229449653,0.949754777790428,0.942729606478583,0.943912241434633,0.945303532971373
AOX1,0.977937984745701,0.961268524956455,0.945067459121533,0.945916712596956,0.945902179824353
APAF1,0.89017613932909,0.95807986281366,0.945984408376054,0.946267313855786,0.946024336385678
APEX1,0.964373982193238,0.938145196162669,0.946091678331615,0.946315303103977,0.946341259811486
APH1A,0.915907559005123,0.925216501425797,0.945978818201609,0.947033096021908,0.947021408521874
APOC1,0.999411179439311,0.935548399562586,0.946739555494586,0.944829092501026,0.945904080832033
APOE,0.972941987999301,0.926632551619923,0.943542062186156,0.94615766925997,0.948954358263594
APOH,0.999789317532777,0.957030137284626,0.946047515145109,0.946298789264092,0.945982792845927
APP,0.850427541700292,0.942059169845055,0.947060882425291,0.945383209800674,0.950687255716364
APRT,0.981724336805679,0.927339682301614,0.947316080966253,0.946050104907353,0.945242407059266
AQP1,0.977639468287748,0.944367902019783,0.942025238768716,0.947569517482585,0.9497656959885
AQP2,0.977814963302661,0.954168384901807,0.947133760824933,0.942594865671352,0.946521757925197
AQP9,0.986566182407058,0.95313042486986,0.951635602168408,0.944376079620646,0.947062383001289
AR,0.942496935205074,0.940743808649755,0.935287808691702,0.940542331556025,0.945413331534238
ARF6,0.951178016950586,0.935862086792386,0.946235584549642,0.945959874734657,0.945860389324642
ARG1,0.982256484085234,0.957492950146821,0.946192875068859,0.94617950743226,0.945978926032695
ARPC1B,0.946618513553142,0.925964791876115,0.947209836637613,0.945535825082564,0.946526871750829
ARPC2,0.946670201391076,0.928927816779524,0.947200751878458,0.946448271940166,0.946462804926949
ARPC3,0.946613059712133,0.925660440808373,0.946122219330137,0.945435440009264,0.945838052089056
ARPC4,0.946832607440935,0.938141372951019,0.94579772361422,0.946499646049987,0.94580092381578
ARPC5,0.946724173665569,0.931988118103013,0.94721617557281,0.94647738894761,0.946407010873843
ARSA,0.955696978549784,0.943308385843362,0.944133876635326,0.943443907480547,0.949257297294042
ASNA1,0.999565607774081,0.944425415990341,0.9447580556285,0.947108043653931,0.942270292647279
ASNS,0.964466671755167,0.943530727052351,0.95167517342765,0.950480711125354,0.947765438602844
ASPA,0.991086437028143,0.960853512315374,0.945395701451799,0.946092376445225,0.946286235097064
ASRGL1,0.999659113155451,0.949579291787905,0.947408562768486,0.9456663621876,0.950186165745068
ASS1,0.986369162726531,0.941976352717329,0.950895436548513,0.944895832480516,0.947762676257638
ATIC,0.977378871144857,0.929602403018681,0.945816904108434,0.946416287559541,0.945825018676763
ATOX1,0.99938371698997,0.934014213919939,0.945665054783343,0.945293588024694,0.945484176351563
ATP1A1,0.973158055003329,0.938840413167977,0.948000418044999,0.945879376530546,0.951108962476098
ATP2A2,0.933485321755581,0.927250460716454,0.946439363447562,0.94559825478291,0.946397426503316
ATP4A,0.982277408167252,0.958687168641321,0.946315650038331,0.946389464673441,0.945903806646124
ATP5A1,0.955536462442846,0.934370945351678,0.945880220727578,0.946893974796112,0.946299273074396
ATP5B,0.959899075628765,0.933070849024035,0.946319886740578,0.946238034771903,0.945627564944714
ATP5C1,0.968595054921572,0.928863524806277,0.947756482517978,0.946851237830572,0.94595882261026
ATP5D,0.968608314198155,0.929647092856225,0.943282072213066,0.947620379203843,0.945726707585462
ATP8A1,0.986668944092616,0.958979918529603,0.946343496829446,0.944870860554819,0.946527050722512
AURKA,0.955942483293874,0.957363455323609,0.946398187436659,0.946323808068291,0.945933495798443
AURKB,0.955727199512111,0.945241630280744,0.949544541562259,0.948907897209629,0.947181695445388
AURKC,0.995499868980461,0.962450132281528,0.946191326785719,0.945998418459498,0.945913116752981
AZGP1,0.999315098599341,0.930018061152268,0.936556682500592,0.94247638352279,0.946207939672843
B2M,0.893923973391662,0.921937673437931,0.946138509724912,0.945956469897153,0.946669015138112
B3GAT3,0.968837629077344,0.94273349196175,0.947864646856789,0.949356324152308,0.943166123127483
B4GALT1,0.925276162897917,0.959090977990142,0.946445442811474,0.946170936435046,0.945844507714206
B4GALT2,0.938050933731754,0.937503482710572,0.946545761248403,0.946639199525423,0.946806722285642
BACE2,0.99518835645109,0.944877031776175,0.94909024469478,0.948599205587001,0.947048841746552
BAD,0.662005364087485,0.950394223078079,0.944766382324585,0.946888319181611,0.942358097731355
BAG6,0.999307740102611,0.92976416449668,0.946854424327987,0.947286620917389,0.946899695973547
BBOX1,0.991040799831238,0.958308886817929,0.952446461687284,0.947988143548408,0.948423404575607
BCAT1,0.973575676040363,0.962588265676907,0.947040045581393,0.946491435487345,0.94604172429315
BCAT2,0.977593513831903,0.941849626792436,0.941195428875219,0.948208696534881,0.944379426716175
BCHE,0.991102204154822,0.961789598829274,0.945955403957372,0.94706873937303,0.945656544218017
BCKDK,0.999389587962374,0.934378861900848,0.944706126014951,0.946381459421617,0.946165083898333
BCL2,0.793647931832109,0.955185643674134,0.941992957441663,0.947778374312205,0.944944695104331
BCL2L1,0.854695096642621,0.935443903443584,0.944870128670718,0.945408667688782,0.946038659668428
BDKRB1,0.947045553107199,0.950195809072229,0.949133126801051,0.94545556374607,0.943567672258463
BHMT,0.982367561704389,0.96378624323006,0.946072605697466,0.946163679436324,0.946059026220307
BIRC2,0.889920967269862,0.943714024208324,0.946984421213491,0.95016782053794,0.950040300415764
BIRC5,0.946955850498445,0.945272959060659,0.952632172665827,0.948979800707695,0.940651963673375
BLVRB,0.986209746785252,0.932979500499443,0.944432760886575,0.944819681580655,0.944505940509474
BPI,0.999743518625529,0.954512183837898,0.949536722890885,0.948823683800167,0.947105763951239
BRAF,0.745568293718676,0.964106800238808,0.946742382361166,0.946689210930703,0.945790023719401
BRCA2,0.933936383523855,0.952774106140614,0.95039230224016,0.944783471134495,0.947002627351305
BRD2,0.994959587852518,0.931828192901048,0.946208392268933,0.946381674414416,0.947481317552047
BRD3,0.999405574532614,0.935271247243546,0.944870446122427,0.946195625853857,0.946748590532578
BRD4,0.994915394214835,0.92934212906018,0.94547613493457,0.947062306583818,0.948049207188173
BRDT,0.999843919380858,0.96013113673106,0.94610935227927,0.946386371807054,0.945675786340415
BST1,0.991022597722791,0.957243533132036,0.946317654293601,0.946171465774504,0.945835012339533
C1QA,0.955378863485151,0.925374891107758,0.948258645387877,0.945104833372549,0.946225763824245
C1QB,0.955408361404658,0.927040559269538,0.948384182029483,0.944788802062119,0.94574762920459
C1R,0.981791033686312,0.931077465873516,0.946131261261331,0.945919263284062,0.948482935079867
C1S,0.959922149065207,0.934315475748807,0.946446500040981,0.945490157486511,0.948709558594422
C3,0.898521628675885,0.933917146609882,0.944595195344881,0.945111780156391,0.948935117579399
CA1,0.986677973749808,0.95954717202761,0.945902499133973,0.9462745261389,0.946146067273749
CA12,0.990638700207831,0.93563013630271,0.930434001093566,0.948734385614555,0.942085731412099
CA14,0.991083845739056,0.960715119457969,0.945938940915002,0.946200983782746,0.945881056395143
CA4,0.986548095358023,0.952045707288438,0.944050024667451,0.943292156321819,0.949044163572886
CA5B,0.991019467665664,0.957059837407093,0.945924417281273,0.946142047376479,0.946299224631713
CA8,0.995464139938946,0.960434925695077,0.945998783505303,0.946220582706468,0.945790697175625
CA9,0.982283873748691,0.959043362225211,0.948060650565445,0.946239529109492,0.946262825923995
CACNA1C,0.95142598656777,0.950063701664762,0.945121181834176,0.950031921284582,0.945778749859003
CACNA1D,0.955721397698173,0.944836205338354,0.942134965039336,0.947523179576463,0.949674517877711
CACNA1F,0.96033508706524,0.957768922011665,0.946226806447164,0.946051992753457,0.94596546943357
CACNA2D2,0.977732625548632,0.94957388419885,0.943083224641846,0.944169511383048,0.945401601121953
CACNB1,0.951569369275614,0.958038924309087,0.946389968136008,0.945980663261688,0.946011565899915
CACNB4,0.951695829132305,0.965204676349139,0.945986944464201,0.945979562444294,0.946081571675788
CAD,0.973121799473988,0.936859728460521,0.947307540609245,0.946550751656082,0.946858273450902
CALCA,0.973500242475428,0.958322600944508,0.946514291910381,0.946689036147289,0.945887444007187
CALCR,0.995477374987354,0.96118920366343,0.946113967684713,0.946362270584749,0.94586453619596
CALR,0.920305788489306,0.925945846965092,0.946544967244251,0.946917928568934,0.947084755598824
CAMK2G,0.916276991480946,0.945979796048439,0.947159439177896,0.942208902118475,0.946745648270096
CAMLG,0.999502245232782,0.940854358437333,0.940427538370573,0.948456737997689,0.94492473764824
CANT1,0.990570711974189,0.931641801147106,0.943883843595044,0.945962484729689,0.94468565320601
CANX,0.946754704567977,0.9337074482802,0.945584056989326,0.946086251289918,0.946166530522746
CAPN1,0.968630531270618,0.93085535258905,0.945867931296099,0.946529751937917,0.94661329943636
CAPNS1,0.97735795345156,0.928397988533902,0.945103470553716,0.946087012014078,0.946454524908205
CARS2,0.986414363323385,0.944691816104089,0.949555724378793,0.948935924804598,0.947178540487287
CASK,0.98188463259404,0.936435589504952,0.946592686693919,0.946573425237783,0.945871022627616
CASP2,0.938518672177518,0.964021693497809,0.946684208498329,0.946630584938566,0.945781366261641
CASP3,0.780287435934754,0.943486137577411,0.949201259416263,0.944807182502665,0.944035792108626
CASP6,0.929383531842655,0.943416791669438,0.941656071785638,0.94796454341107,0.945189048098537
CASR,0.964789526419514,0.961699403951433,0.946416083811759,0.946289366294642,0.945787582800497
CAST,0.999833476205236,0.959531133094966,0.945722201184631,0.946242234764608,0.945942200199306
CAT,0.964415366743345,0.940636884409567,0.945069950829765,0.950316764457862,0.946275194882816
CBR1,0.995181273532931,0.944487990326946,0.949622909075312,0.948990999338622,0.947195224164839
CCBL1,0.986550041150768,0.952152640095908,0.943934361345943,0.943196340468221,0.949035143502164
CCKBR,0.960309432781275,0.956412986197428,0.950273618609051,0.949079287164451,0.946883883477363
CCL11,0.942880924867285,0.962695622189274,0.94646285479851,0.94599386539581,0.945667748693364
CCL2,0.925040894844848,0.945838634418247,0.949468747606443,0.948832345804957,0.947167094504724
CCND1,0.749567794761155,0.942374304771197,0.93825244039958,0.949201737611028,0.942791748473217
CCND2,0.929641209565236,0.95794044427218,0.945921589524812,0.946225191237075,0.946420229428178
CCND3,0.920660408371416,0.946103604483697,0.949211902053967,0.948640597801057,0.947097400067355
CCNE1,0.854896527280168,0.946970182609087,0.949614565952906,0.94889433818184,0.947221402815703
CCR2,0.938363946691892,0.955092907959072,0.947195424791992,0.942443881093461,0.946496717619295
CCR3,0.947272536754208,0.963061191976707,0.946203844639424,0.946246210940815,0.945937036937578
CCR4,0.955990270323696,0.960061490434157,0.946423565853248,0.946078765752784,0.946032034409716
CCR8,0.960331918066389,0.957602611318868,0.946327020011813,0.946395065828039,0.945891994140413
CCT3,0.977197124255546,0.919323982293453,0.947295960987892,0.947085173728953,0.946051532682825
CD14,0.920363965568283,0.929221846510075,0.947709781428157,0.946216423205823,0.946654582756678
CD163,0.999835192156403,0.959615611267918,0.946543412446265,0.945943520610929,0.946083067630797
CD1A,0.995483856408868,0.961559873407672,0.946591094773637,0.946566028806291,0.946197961122959
CD36,0.925257771569123,0.957827327571086,0.945351174434454,0.940552325187922,0.947375600368646
CD3E,0.855083489584187,0.957323625736444,0.947449820406689,0.942001432354612,0.946541906148101
